index,status,uuid,experiment,file_path,image,args,params,cpu_request,memory_request,disk_request,GPU,next_job
70,ready,2023-09-16-e-mouse-5plex-official-right,2023-09-19-T150143-chip19894_right,s3://braingeneers/ephys/2023-09-16-e-mouse-5plex-official-right/derived/kilosort2/2023-09-19-T150143-chip19894_right_acqm.zip,surygeng/connectivity:v0.1,python run_conn.py,connectivity/params_small_bin.json,1,16,2,0,None
71,ready,2023-09-16-e-mouse-5plex-official-right,2023-09-19-T160000-chip19894_right,s3://braingeneers/ephys/2023-09-16-e-mouse-5plex-official-right/derived/kilosort2/2023-09-19-T160000-chip19894_right_acqm.zip,surygeng/connectivity:v0.1,python run_conn.py,connectivity/params_small_bin.json,1,16,2,0,None
72,ready,2023-09-16-e-mouse-5plex-official-right,2023-09-19-T170000-chip19894_right,s3://braingeneers/ephys/2023-09-16-e-mouse-5plex-official-right/derived/kilosort2/2023-09-19-T170000-chip19894_right_acqm.zip,surygeng/connectivity:v0.1,python run_conn.py,connectivity/params_small_bin.json,1,16,2,0,None
73,ready,2023-09-16-e-mouse-5plex-official-right,2023-09-19-T180000-chip19894_right,s3://braingeneers/ephys/2023-09-16-e-mouse-5plex-official-right/derived/kilosort2/2023-09-19-T180000-chip19894_right_acqm.zip,surygeng/connectivity:v0.1,python run_conn.py,connectivity/params_small_bin.json,1,16,2,0,None
74,ready,2023-09-16-e-mouse-5plex-official-right,2023-09-19-T190000-chip19894_right,s3://braingeneers/ephys/2023-09-16-e-mouse-5plex-official-right/derived/kilosort2/2023-09-19-T190000-chip19894_right_acqm.zip,surygeng/connectivity:v0.1,python run_conn.py,connectivity/params_small_bin.json,1,16,2,0,None
75,ready,2023-09-16-e-mouse-5plex-official-right,2023-09-19-T200000-chip19894_right,s3://braingeneers/ephys/2023-09-16-e-mouse-5plex-official-right/derived/kilosort2/2023-09-19-T200000-chip19894_right_acqm.zip,surygeng/connectivity:v0.1,python run_conn.py,connectivity/params_small_bin.json,1,16,2,0,None
76,ready,2023-09-16-e-mouse-5plex-official-right,2023-09-19-T210000-chip19894_right,s3://braingeneers/ephys/2023-09-16-e-mouse-5plex-official-right/derived/kilosort2/2023-09-19-T210000-chip19894_right_acqm.zip,surygeng/connectivity:v0.1,python run_conn.py,connectivity/params_small_bin.json,1,16,2,0,None
77,ready,2023-09-16-e-mouse-5plex-official-right,2023-09-19-T220000-chip19894_right,s3://braingeneers/ephys/2023-09-16-e-mouse-5plex-official-right/derived/kilosort2/2023-09-19-T220000-chip19894_right_acqm.zip,surygeng/connectivity:v0.1,python run_conn.py,connectivity/params_small_bin.json,1,16,2,0,None
78,ready,2023-09-16-e-mouse-5plex-official-right,2023-09-19-T230000-chip19894_right,s3://braingeneers/ephys/2023-09-16-e-mouse-5plex-official-right/derived/kilosort2/2023-09-19-T230000-chip19894_right_acqm.zip,surygeng/connectivity:v0.1,python run_conn.py,connectivity/params_small_bin.json,1,16,2,0,None
79,ready,2023-09-16-e-mouse-5plex-official-right,2023-09-20-T000000-chip19894_right,s3://braingeneers/ephys/2023-09-16-e-mouse-5plex-official-right/derived/kilosort2/2023-09-20-T000000-chip19894_right_acqm.zip,surygeng/connectivity:v0.1,python run_conn.py,connectivity/params_small_bin.json,1,16,2,0,None
80,ready,2023-09-16-e-mouse-5plex-official-right,2023-09-20-T010000-chip19894_right,s3://braingeneers/ephys/2023-09-16-e-mouse-5plex-official-right/derived/kilosort2/2023-09-20-T010000-chip19894_right_acqm.zip,surygeng/connectivity:v0.1,python run_conn.py,connectivity/params_small_bin.json,1,16,2,0,None
81,ready,2023-09-16-e-mouse-5plex-official-right,2023-09-20-T020000-chip19894_right,s3://braingeneers/ephys/2023-09-16-e-mouse-5plex-official-right/derived/kilosort2/2023-09-20-T020000-chip19894_right_acqm.zip,surygeng/connectivity:v0.1,python run_conn.py,connectivity/params_small_bin.json,1,16,2,0,None
82,ready,2023-09-16-e-mouse-5plex-official-right,2023-09-20-T030000-chip19894_right,s3://braingeneers/ephys/2023-09-16-e-mouse-5plex-official-right/derived/kilosort2/2023-09-20-T030000-chip19894_right_acqm.zip,surygeng/connectivity:v0.1,python run_conn.py,connectivity/params_small_bin.json,1,16,2,0,None
